time,vehicle_id,origin,destination,lane,block,arrival_time,stuck_time,active,light,type
75,4,1,3,3,12,20,0,False,none,AV
75,5,1,2,1,11,22,0,False,none,AV
75,6,16,8,2,11,23,0,False,none,HDV
75,7,24,21,3,9,34,0,False,none,AV
75,8,19,17,3,9,35,0,False,none,AV
75,9,14,15,0,8,37,0,False,none,HDV
75,10,14,11,3,8,38,0,False,none,HDV
75,11,24,13,1,8,39,0,False,none,HDV
75,12,4,3,0,4,58,0,False,none,HDV
75,13,24,13,3,4,60,0,False,none,HDV
75,14,7,18,2,3,63,0,False,none,AV
75,15,6,5,3,2,67,0,False,none,HDV
75,16,21,24,4,1,75,0,False,none,HDV
78,17,21,20,0,0,78,0,False,none,AV
79,18,13,24,0,0,79,0,False,none,HDV
80,0,16,10,0,15,8,0,False,none,HDV
80,1,16,8,1,15,9,0,False,none,HDV
80,2,24,21,3,14,13,0,False,none,AV
80,3,4,5,0,13,18,0,False,none,HDV
80,4,1,3,3,13,20,0,False,none,AV
80,5,1,2,1,12,22,0,False,none,AV
80,6,16,8,2,12,23,0,False,none,HDV
80,7,24,21,3,10,34,0,False,none,AV
80,8,19,17,3,10,35,0,False,none,AV
80,9,14,15,0,9,37,0,False,none,HDV
80,10,14,11,3,9,38,0,False,none,HDV
80,11,24,13,1,9,39,0,False,none,HDV
80,12,4,3,0,5,58,0,False,none,HDV
80,13,24,13,3,5,60,0,False,none,HDV
80,14,7,18,2,4,63,0,False,none,AV
80,15,6,5,3,3,67,0,False,none,HDV
80,16,21,24,4,2,75,0,False,none,HDV
80,17,21,20,0,1,78,0,False,none,AV
80,18,13,24,0,1,79,0,False,none,HDV
85,0,16,10,0,16,8,0,False,none,HDV
85,1,16,8,1,16,9,0,False,none,HDV
85,2,24,21,3,15,13,0,False,none,AV
85,3,4,5,0,14,18,0,False,none,HDV
85,4,1,3,3,14,20,0,False,none,AV
85,5,1,2,1,13,22,0,False,none,AV
85,6,16,8,2,13,23,0,False,none,HDV
85,7,24,21,3,11,34,0,False,none,AV
85,8,19,17,3,11,35,0,False,none,AV
85,9,14,15,0,10,37,0,False,none,HDV
85,10,14,11,3,10,38,0,False,none,HDV
85,11,24,13,1,10,39,0,False,none,HDV
85,12,4,3,0,6,58,0,False,none,HDV
85,13,24,13,3,6,60,0,False,none,HDV
85,14,7,18,2,5,63,0,False,none,AV
85,15,6,5,3,4,67,0,False,none,HDV
85,16,21,24,4,3,75,0,False,none,HDV
85,17,21,20,0,2,78,0,False,none,AV
85,18,13,24,0,2,79,0,False,none,HDV
90,0,16,10,0,17,8,0,False,none,HDV
90,1,16,8,1,17,9,0,False,none,HDV
90,2,24,21,3,16,13,0,False,none,AV
90,3,4,5,0,15,18,0,False,none,HDV
90,4,1,3,3,15,20,0,False,none,AV
90,5,1,2,1,14,22,0,False,none,AV
90,6,16,8,2,14,23,0,False,none,HDV
90,7,24,21,3,12,34,0,False,none,AV
90,8,19,17,3,12,35,0,False,none,AV
90,9,14,15,0,11,37,0,False,none,HDV
90,10,14,11,3,11,38,0,False,none,HDV
90,11,24,13,1,11,39,0,False,none,HDV
90,12,4,3,0,7,58,0,False,none,HDV
90,13,24,13,3,7,60,0,False,none,HDV
90,14,7,18,2,6,63,0,False,none,AV
90,15,6,5,3,5,67,0,False,none,HDV
90,16,21,24,4,4,75,0,False,none,HDV
90,17,21,20,0,3,78,0,False,none,AV
90,18,13,24,0,3,79,0,False,none,HDV
92,19,5,6,3,0,92,0,False,none,HDV
93,20,12,3,2,0,93,0,False,none,AV
95,0,16,10,0,18,8,0,False,none,HDV
95,1,16,8,1,18,9,0,False,none,HDV
95,2,24,21,3,17,13,0,False,none,AV
95,3,4,5,0,16,18,0,False,none,HDV
95,4,1,3,3,16,20,0,False,none,AV
95,5,1,2,1,15,22,0,False,none,AV
95,6,16,8,2,15,23,0,False,none,HDV
95,7,24,21,3,13,34,0,False,none,AV
95,8,19,17,3,13,35,0,False,none,AV
95,9,14,15,0,12,37,0,False,none,HDV
95,10,14,11,3,12,38,0,False,none,HDV
95,11,24,13,1,12,39,0,False,none,HDV
95,12,4,3,0,8,58,0,False,none,HDV
95,13,24,13,3,8,60,0,False,none,HDV
95,14,7,18,2,7,63,0,False,none,AV
95,15,6,5,3,6,67,0,False,none,HDV
95,16,21,24,4,5,75,0,False,none,HDV
95,17,21,20,0,4,78,0,False,none,AV
95,18,13,24,0,4,79,0,False,none,HDV
95,19,5,6,3,1,92,0,False,none,HDV
95,20,12,3,2,1,93,0,False,none,AV
100,0,16,10,0,19,8,0,False,none,HDV
100,1,16,8,1,19,9,0,False,none,HDV
100,2,24,21,3,18,13,0,False,none,AV
100,3,4,5,0,17,18,0,False,none,HDV
100,4,1,3,3,17,20,0,False,none,AV
100,5,1,2,1,16,22,0,False,none,AV
100,6,16,8,2,16,23,0,False,none,HDV
100,7,24,21,3,14,34,0,False,none,AV
100,8,19,17,3,14,35,0,False,none,AV
100,9,14,15,0,13,37,0,False,none,HDV
100,10,14,11,3,13,38,0,False,none,HDV
100,11,24,13,1,13,39,0,False,none,HDV
100,12,4,3,0,9,58,0,False,none,HDV
100,13,24,13,3,9,60,0,False,none,HDV
100,14,7,18,2,8,63,0,False,none,AV
100,15,6,5,3,7,67,0,False,none,HDV
100,16,21,24,4,6,75,0,False,none,HDV
100,17,21,20,0,5,78,0,False,none,AV
100,18,13,24,0,5,79,0,False,none,HDV
100,19,5,6,3,2,92,0,False,none,HDV
100,20,12,3,2,2,93,0,False,none,AV
105,0,16,10,0,20,8,0,False,none,HDV
105,1,16,8,1,20,9,0,False,none,HDV
105,2,24,21,3,19,13,0,False,none,AV
105,3,4,5,0,18,18,0,False,none,HDV
105,4,1,3,3,18,20,0,False,none,AV
105,5,1,2,1,17,22,0,False,none,AV
105,6,16,8,2,17,23,0,False,none,HDV
105,7,24,21,3,15,34,0,False,none,AV
105,8,19,17,4,14,35,0,False,none,AV
105,8,19,17,4,15,35,0,False,none,AV
105,9,14,15,0,14,37,0,False,none,HDV
105,10,14,11,3,14,38,0,False,none,HDV
105,11,24,13,1,14,39,0,False,none,HDV
105,12,4,3,0,10,58,0,False,none,HDV
105,13,24,13,3,10,60,0,False,none,HDV
105,14,7,18,2,9,63,0,False,none,AV
105,15,6,5,3,8,67,0,False,none,HDV
105,16,21,24,4,7,75,0,False,none,HDV
105,17,21,20,0,6,78,0,False,none,AV
105,18,13,24,0,6,79,0,False,none,HDV
105,19,5,6,3,3,92,0,False,none,HDV
105,20,12,3,2,3,93,0,False,none,AV
110,0,16,10,0,21,8,0,False,none,HDV
110,1,16,8,1,21,9,0,False,none,HDV
110,2,24,21,3,20,13,0,False,none,AV
110,3,4,5,0,19,18,0,False,red,HDV
110,4,1,3,3,19,20,0,False,none,AV
110,5,1,2,1,18,22,0,False,none,AV
110,6,16,8,2,18,23,0,False,none,HDV
110,7,24,21,3,16,34,0,False,none,AV
110,8,19,17,4,16,35,0,False,none,AV
110,9,14,15,0,15,37,0,False,none,HDV
110,10,14,11,3,15,38,0,False,none,HDV
110,11,24,13,1,15,39,0,False,none,HDV
110,12,4,3,0,11,58,0,False,none,HDV
110,13,24,13,3,11,60,0,False,none,HDV
110,14,7,18,3,9,63,0,False,none,AV
110,14,7,18,3,10,63,0,False,none,AV
110,15,6,5,3,9,67,0,False,none,HDV
110,16,21,24,4,8,75,0,False,none,HDV
110,17,21,20,0,7,78,0,False,none,AV
110,18,13,24,0,7,79,0,False,none,HDV
110,19,5,6,3,4,92,0,False,none,HDV
110,20,12,3,2,4,93,0,False,none,AV
115,0,16,10,0,22,8,0,False,none,HDV
115,1,16,8,1,22,9,0,False,none,HDV
115,2,24,21,3,21,13,0,False,none,AV
115,3,5,6,0,0,115,0,False,none,HDV
115,3,5,6,0,0,115,0,False,none,HDV
115,4,1,3,3,20,20,0,False,none,AV
115,5,1,2,1,19,22,0,False,none,AV
115,6,16,8,2,19,23,0,False,none,HDV
115,7,24,21,3,17,34,0,False,none,AV
115,8,19,17,4,17,35,0,False,none,AV
115,9,14,15,0,16,37,0,False,none,HDV
115,10,14,11,3,16,38,0,False,none,HDV
115,11,24,13,1,16,39,0,False,none,HDV
115,12,4,3,0,12,58,0,False,none,HDV
115,13,24,13,3,12,60,0,False,none,HDV
115,14,7,18,3,11,63,0,False,none,AV
115,15,6,5,3,10,67,0,False,none,HDV
115,16,21,24,4,9,75,0,False,none,HDV
115,17,21,20,0,8,78,0,False,none,AV
115,18,13,24,0,8,79,0,False,none,HDV
115,19,5,6,3,5,92,0,False,none,HDV
115,20,12,3,2,5,93,0,False,none,AV
120,0,16,10,0,23,8,0,False,none,HDV
120,1,16,8,1,23,9,0,False,none,HDV
120,2,24,21,3,22,13,0,False,none,AV
120,4,1,3,3,21,20,0,False,none,AV
120,5,1,2,1,20,22,0,False,none,AV
120,6,16,8,2,20,23,0,False,none,HDV
120,7,24,21,3,18,34,0,False,none,AV
120,8,19,17,4,18,35,0,False,none,AV
120,9,14,15,0,17,37,0,False,none,HDV
120,10,14,11,3,17,38,0,False,none,HDV
120,11,24,13,1,17,39,0,False,none,HDV
120,12,4,3,0,13,58,0,False,none,HDV
120,13,24,13,3,13,60,0,False,none,HDV
120,14,7,18,3,12,63,0,False,none,AV
120,15,6,5,3,11,67,0,False,none,HDV
120,16,21,24,4,10,75,0,False,none,HDV
120,17,21,20,0,9,78,0,False,none,AV
120,18,13,24,0,9,79,0,False,none,HDV
120,19,5,6,3,6,92,0,False,none,HDV
120,20,12,3,2,6,93,0,False,none,AV
120,3,5,6,0,1,115,0,False,none,HDV
125,0,16,10,0,24,8,0,False,none,HDV
125,1,16,8,1,24,9,0,False,none,HDV
125,2,24,21,3,23,13,0,False,none,AV
125,4,1,3,3,22,20,0,False,none,AV
125,5,1,2,1,21,22,0,False,none,AV
125,6,16,8,2,21,23,0,False,none,HDV
125,7,24,21,3,19,34,0,False,none,AV
125,8,19,17,4,19,35,0,False,red,AV
125,9,14,15,0,18,37,0,False,none,HDV
125,10,14,11,3,18,38,0,False,none,HDV
125,11,24,13,1,18,39,0,False,none,HDV
125,12,4,3,0,14,58,0,False,none,HDV
125,13,24,13,3,14,60,0,False,none,HDV
125,14,7,18,3,13,63,0,False,none,AV
125,15,6,5,3,12,67,0,False,none,HDV
125,16,21,24,4,11,75,0,False,none,HDV
125,17,21,20,0,10,78,0,False,none,AV
125,18,13,24,0,10,79,0,False,none,HDV
125,19,5,6,3,7,92,0,False,none,HDV
125,20,12,3,2,7,93,0,False,none,AV
125,3,5,6,0,2,115,0,False,none,HDV
130,0,16,10,0,25,8,0,False,none,HDV
130,1,16,8,1,25,9,0,False,none,HDV
130,2,24,21,3,24,13,0,False,none,AV
130,4,1,3,3,23,20,0,False,none,AV
130,5,1,2,1,22,22,0,False,none,AV
130,6,16,8,2,22,23,0,False,none,HDV
130,7,24,21,3,20,34,0,False,none,AV
130,8,17,16,4,0,130,0,False,none,AV
130,8,17,16,4,0,130,0,False,none,AV
130,9,14,15,0,19,37,0,False,none,HDV
130,10,14,11,3,19,38,0,False,none,HDV
130,11,24,13,1,19,39,0,False,none,HDV
130,12,4,3,0,15,58,0,False,none,HDV
130,13,24,13,3,15,60,0,False,none,HDV
130,14,7,18,3,14,63,0,False,none,AV
130,15,6,5,3,13,67,0,False,none,HDV
130,16,21,24,4,12,75,0,False,none,HDV
130,17,21,20,0,11,78,0,False,none,AV
130,18,13,24,0,11,79,0,False,none,HDV
130,19,5,6,3,8,92,0,False,none,HDV
130,20,12,3,2,8,93,0,False,none,AV
130,3,5,6,0,3,115,0,False,none,HDV
135,0,16,10,0,26,8,0,False,none,HDV
135,1,16,8,1,26,9,0,False,none,HDV
135,2,24,21,4,24,13,0,False,none,AV
135,2,24,21,4,25,13,0,False,none,AV
135,4,1,3,3,24,20,0,False,none,AV
135,5,1,2,1,23,22,0,False,none,AV
135,6,16,8,2,23,23,0,False,none,HDV
135,7,24,21,3,21,34,0,False,none,AV
135,9,14,15,0,20,37,0,False,none,HDV
135,10,14,11,3,20,38,0,False,none,HDV
135,11,24,13,1,20,39,0,False,none,HDV
135,12,4,3,0,16,58,0,False,none,HDV
135,13,24,13,3,16,60,0,False,none,HDV
135,14,7,18,4,14,63,0,False,none,AV
135,14,7,18,4,15,63,0,False,none,AV
135,15,6,5,3,14,67,0,False,none,HDV
135,16,21,24,4,13,75,0,False,none,HDV
135,17,21,20,0,12,78,0,False,none,AV
135,18,13,24,0,12,79,0,False,none,HDV
135,19,5,6,3,9,92,0,False,none,HDV
135,20,12,3,2,9,93,0,False,none,AV
135,3,5,6,0,4,115,0,False,none,HDV
135,8,17,16,4,1,130,0,False,none,AV
140,0,16,10,0,27,8,0,False,none,HDV
140,1,16,8,1,27,9,0,False,none,HDV
140,2,24,21,4,26,13,0,False,none,AV
140,4,1,3,3,25,20,0,False,none,AV
140,5,1,2,1,24,22,0,False,none,AV
140,6,16,8,2,24,23,0,False,none,HDV
140,7,24,21,3,22,34,0,False,none,AV
140,9,14,15,0,21,37,0,False,none,HDV
140,10,14,11,3,21,38,0,False,none,HDV
140,11,24,13,1,21,39,0,False,none,HDV
140,12,4,3,0,17,58,0,False,none,HDV
140,13,24,13,3,17,60,0,False,none,HDV
140,14,7,18,4,16,63,0,False,none,AV
140,15,6,5,3,15,67,0,False,none,HDV
140,16,21,24,4,14,75,0,False,none,HDV
140,17,21,20,0,13,78,0,False,none,AV
140,18,13,24,0,13,79,0,False,none,HDV
140,19,5,6,3,10,92,0,False,none,HDV
140,20,12,3,2,10,93,0,False,none,AV
140,3,5,6,0,5,115,0,False,none,HDV
140,8,17,16,4,2,130,0,False,none,AV
145,0,16,10,0,28,8,0,False,none,HDV
145,1,16,8,1,28,9,0,False,none,HDV
145,2,24,21,4,27,13,0,False,none,AV
145,4,1,3,3,26,20,0,False,none,AV
145,5,1,2,1,25,22,0,False,none,AV
145,6,16,8,2,25,23,0,False,none,HDV
145,7,24,21,3,23,34,0,False,none,AV
145,9,14,15,0,22,37,0,False,none,HDV
145,10,14,11,3,22,38,0,False,none,HDV
145,11,24,13,1,22,39,0,False,none,HDV
145,12,4,3,0,18,58,0,False,none,HDV
145,13,24,13,3,18,60,0,False,none,HDV
145,14,7,18,4,17,63,0,False,none,AV
145,15,6,5,3,16,67,0,False,none,HDV
145,16,21,24,4,15,75,0,False,none,HDV
145,17,21,20,0,14,78,0,False,none,AV
145,18,13,24,0,14,79,0,False,none,HDV
145,19,5,6,3,11,92,0,False,none,HDV
145,20,12,3,2,11,93,0,False,none,AV
145,3,5,6,0,6,115,0,False,none,HDV
145,8,17,16,4,3,130,0,False,none,AV
150,0,16,10,0,29,8,0,False,none,HDV
150,1,16,8,1,29,9,0,False,none,HDV
150,2,24,21,4,28,13,0,False,none,AV
150,4,1,3,3,27,20,0,False,none,AV
150,5,1,2,1,26,22,0,False,none,AV
150,6,16,8,2,26,23,0,False,none,HDV
150,7,24,21,3,24,34,0,False,none,AV
150,9,14,15,0,23,37,0,False,none,HDV
150,10,14,11,3,23,38,0,False,none,HDV
150,11,24,13,1,23,39,0,False,none,HDV
150,12,4,3,0,19,58,0,False,none,HDV
150,13,24,13,3,19,60,0,False,none,HDV
150,14,7,18,4,18,63,0,False,none,AV
150,15,6,5,3,17,67,0,False,none,HDV
150,16,21,24,4,16,75,0,False,none,HDV
150,17,21,20,0,15,78,0,False,none,AV
150,18,13,24,0,15,79,0,False,none,HDV
150,19,5,6,3,12,92,0,False,none,HDV
150,20,12,3,2,12,93,0,False,none,AV
150,3,5,6,0,7,115,0,False,none,HDV
150,8,17,16,4,4,130,0,False,none,AV
155,0,16,10,0,30,8,0,False,none,HDV
155,1,16,8,1,30,9,0,False,none,HDV
155,2,24,21,4,29,13,0,False,red,AV
155,4,1,3,3,28,20,0,False,none,AV
155,5,1,2,1,27,22,0,False,none,AV
155,6,16,8,2,27,23,0,False,none,HDV
155,7,24,21,4,24,34,0,False,none,AV
155,7,24,21,4,25,34,0,False,none,AV
155,9,14,15,0,24,37,0,False,none,HDV
155,10,14,11,3,24,38,0,False,none,HDV
155,11,24,13,1,24,39,0,False,none,HDV
155,12,4,3,0,20,58,0,False,none,HDV
155,13,24,13,3,20,60,0,False,none,HDV
155,14,7,18,4,19,63,0,False,red,AV
155,15,6,5,3,18,67,0,False,none,HDV
155,16,21,24,4,17,75,0,False,none,HDV
155,17,21,20,0,16,78,0,False,none,AV
155,18,13,24,0,16,79,0,False,none,HDV
155,19,5,6,3,13,92,0,False,none,HDV
155,20,12,3,2,13,93,0,False,none,AV
155,3,5,6,0,8,115,0,False,none,HDV
155,8,17,16,4,5,130,0,False,none,AV
160,0,16,10,0,31,8,0,False,none,HDV
160,1,16,8,1,31,9,0,False,none,HDV
160,2,21,22,4,0,160,0,False,none,AV
160,2,21,22,4,0,160,0,False,none,AV
160,4,1,3,3,29,20,0,False,none,AV
160,5,1,2,1,28,22,0,False,none,AV
160,6,16,8,2,28,23,0,False,none,HDV
160,7,24,21,4,26,34,0,False,none,AV
160,9,14,15,0,25,37,0,False,none,HDV
160,10,14,11,3,25,38,0,False,none,HDV
160,11,24,13,1,25,39,0,False,none,HDV
160,12,4,3,0,21,58,0,False,none,HDV
160,13,24,13,3,21,60,0,False,none,HDV
160,14,18,20,4,0,160,0,False,none,AV
160,14,18,20,4,0,160,0,False,none,AV
160,15,6,5,3,19,67,0,False,none,HDV
160,16,21,24,4,18,75,0,False,none,HDV
160,17,21,20,0,17,78,0,False,none,AV
160,18,13,24,0,17,79,0,False,none,HDV
160,19,5,6,3,14,92,0,False,none,HDV
160,20,12,3,2,14,93,0,False,none,AV
160,3,5,6,0,9,115,0,False,none,HDV
160,8,17,16,4,6,130,0,False,none,AV
165,0,16,10,0,32,8,0,False,none,HDV
165,1,16,8,1,32,9,0,False,none,HDV
165,4,1,3,3,30,20,0,False,none,AV
165,5,1,2,1,29,22,0,False,none,AV
165,6,16,8,2,29,23,0,False,none,HDV
165,7,24,21,4,27,34,0,False,none,AV
165,9,14,15,0,26,37,0,False,none,HDV
165,10,14,11,3,26,38,0,False,none,HDV
165,11,24,13,1,26,39,0,False,none,HDV
165,12,4,3,0,22,58,0,False,none,HDV
165,13,24,13,3,22,60,0,False,none,HDV
165,15,6,5,3,20,67,0,False,none,HDV
165,16,21,24,4,19,75,0,False,none,HDV
165,17,21,20,0,18,78,0,False,none,AV
165,18,13,24,0,18,79,0,False,none,HDV
165,19,5,6,3,15,92,0,False,none,HDV
165,20,12,3,2,15,93,0,False,none,AV
165,3,5,6,0,10,115,0,False,none,HDV
165,8,17,16,4,7,130,0,False,none,AV
165,2,21,22,4,1,160,0,False,none,AV
165,14,18,20,4,1,160,0,False,none,AV
170,0,16,10,0,33,8,0,False,none,HDV
170,1,16,8,1,33,9,0,False,none,HDV
170,4,1,3,3,31,20,0,False,none,AV
170,5,1,2,1,30,22,0,False,none,AV
170,6,16,8,2,30,23,0,False,none,HDV
170,7,24,21,4,28,34,0,False,none,AV
170,9,14,15,0,27,37,0,False,none,HDV
170,10,14,11,3,27,38,0,False,none,HDV
170,11,24,13,1,27,39,0,False,none,HDV
170,12,4,3,0,23,58,0,False,none,HDV
170,13,24,13,3,23,60,0,False,none,HDV
170,15,6,5,3,21,67,0,False,none,HDV
170,16,21,24,3,19,75,0,False,none,HDV
170,16,21,24,3,20,75,0,False,none,HDV
170,17,21,20,0,19,78,0,False,none,AV
170,18,13,24,0,19,79,0,False,none,HDV
170,19,5,6,3,16,92,0,False,none,HDV
170,20,12,3,2,16,93,0,False,none,AV
170,3,5,6,0,11,115,0,False,none,HDV
170,8,17,16,4,8,130,0,False,none,AV
170,2,21,22,4,2,160,0,False,none,AV
170,14,18,20,4,2,160,0,False,none,AV
175,0,16,10,0,34,8,0,False,none,HDV
175,1,16,8,1,34,9,0,False,none,HDV
175,4,1,3,3,32,20,0,False,none,AV
175,5,1,2,1,31,22,0,False,none,AV
175,6,16,8,2,31,23,0,False,none,HDV
175,7,24,21,4,29,34,0,False,red,AV
175,9,14,15,0,28,37,0,False,none,HDV
175,10,14,11,3,28,38,0,False,none,HDV
175,11,24,13,1,28,39,0,False,none,HDV
175,12,4,3,0,24,58,0,False,none,HDV
175,13,24,13,3,24,60,0,False,none,HDV
175,15,6,5,3,22,67,0,False,none,HDV
175,16,21,24,2,20,75,0,False,none,HDV
175,16,21,24,2,21,75,0,False,none,HDV
175,17,21,20,0,20,78,0,False,none,AV
175,18,13,24,0,20,79,0,False,none,HDV
175,19,5,6,3,17,92,0,False,none,HDV
175,20,12,3,2,17,93,0,False,none,AV
175,3,5,6,0,12,115,0,False,none,HDV
175,8,17,16,4,9,130,0,False,none,AV
175,2,21,22,4,3,160,0,False,none,AV
